,Medicine Name,Uses,Side_effects
675,Mycoderm-C Dusting Powder,Fungal skin infections,Blisters Skin peeling Swelling Application site irritation
676,Micogel F Ointment,Fungal skin infections,Skin peeling Blisters on skin Dry skin Application site reactions burning irritation itching and redness
677,Mifenti Vaginal Capsule,Fungal infections of vagina,Erythema skin redness
678,Monoguard Cream,Fungal skin infections,Application site reactions burning irritation itching and redness Skin irritation
679,Monoguard Cream,Fungal infections,Application site reactions burning irritation itching and redness Skin irritation
680,Momoz T Cream,Fungal skin infections,Application site reactions burning irritation itching and redness Burning sensation Skin atrophy Skin exfoliation
681,Mycoclear 100 Capsule,Fungal infections,Nausea Abdominal pain Constipation Dizziness Headache Indigestion Vomiting
682,Mycoclin Cream,Fungal skin infections,Application site reactions burning irritation itching and redness Skin irritation
683,Mycoclin Cream,Fungal infections,Application site reactions burning irritation itching and redness Skin irritation
684,Momesone-T Cream,Fungal skin infections,Application site reactions burning irritation itching and redness Burning sensation Skin atrophy Skin exfoliation
685,Mitraa 200mg Capsule,Fungal infections,Nausea Abdominal pain Constipation Dizziness Headache Indigestion Vomiting
686,Mankind's Ring-Out Dusting Powder,Fungal skin infections,Blisters Skin peeling Swelling Application site irritation
687,Monoguard Cream,Fungal skin infections,Application site reactions burning irritation itching and redness Skin irritation
688,Monoguard Cream,Fungal infections,Application site reactions burning irritation itching and redness Skin irritation
689,Micogel F Cream,Fungal skin infections,Skin peeling Blisters on skin Dry skin Application site reactions burning irritation itching and redness
690,Myket Cream,Fungal skin infections,Skin peeling Application site reactions burning irritation itching and redness Nausea Vomiting Abdominal pain Increased liver enzymes Application site redness Itching Diarrhea Abnormal liver function tests Adrenal insufficiency Application site burning
691,Metacortil-C Cream,Fungal skin infections,Application site reactions burning irritation itching and redness
692,Mycoclin Dusting Powder,Fungal skin infections,Application site reactions burning irritation itching and redness Skin irritation
693,Mycoclin Dusting Powder,Fungal infections,Application site reactions burning irritation itching and redness Skin irritation
694,Monoguard Cream,Fungal skin infections,Application site reactions burning irritation itching and redness Skin irritation
695,Monoguard Cream,Fungal infections,Application site reactions burning irritation itching and redness Skin irritation
696,Metafine Cream,Fungal skin infections,Application site reactions burning irritation itching and redness Burning sensation Skin atrophy Skin exfoliation
697,Mycocid Cream,Fungal skin infections,Blisters Skin peeling Swelling Application site irritation
698,Mycozole-F Cream,Fungal skin infections,Skin peeling Blisters on skin Dry skin Application site reactions burning irritation itching and redness
699,Mycoclin Lotion,Fungal skin infections,Application site reactions burning irritation itching and redness Skin irritation
700,Mycoclin Lotion,Fungal infections,Application site reactions burning irritation itching and redness Skin irritation
701,Monokit Cream,Fungal skin infections,Skin peeling Application site reactions burning irritation itching and redness Nausea Vomiting Abdominal pain Increased liver enzymes Application site redness Itching Diarrhea Abnormal liver function tests Adrenal insufficiency Application site burning
702,Maskofung-XL Cream,Fungal nail infections,Blisters on skin Nail disorder Skin irritation Skin rash Erythema skin redness
703,Maskofung Cream,Fungal nail infections,Blisters on skin Nail disorder Skin irritation Skin rash Erythema skin redness
704,Mesoketz Soap,Fungal skin infections,Skin peeling Application site reactions burning irritation itching and redness Nausea Vomiting Abdominal pain Increased liver enzymes Application site redness Itching Diarrhea Abnormal liver function tests Adrenal insufficiency Application site burning
705,Mesoketz Cream,Fungal skin infections,Skin peeling Application site reactions burning irritation itching and redness Nausea Vomiting Abdominal pain Increased liver enzymes Application site redness Itching Diarrhea Abnormal liver function tests Adrenal insufficiency Application site burning
706,Nizral 2% Solution,Fungal skin infections,Skin peeling Application site reactions burning irritation itching and redness Nausea Vomiting Abdominal pain Increased liver enzymes Application site redness Itching Diarrhea Abnormal liver function tests Adrenal insufficiency Application site burning
707,Nizral Cream,Fungal skin infections,Skin peeling Application site reactions burning irritation itching and redness Nausea Vomiting Abdominal pain Increased liver enzymes Application site redness Itching Diarrhea Abnormal liver function tests Adrenal insufficiency Application site burning
708,Nizral Cream,Fungal skin infections,Skin peeling Application site reactions burning irritation itching and redness Nausea Vomiting Abdominal pain Increased liver enzymes Application site redness Itching Diarrhea Abnormal liver function tests Adrenal insufficiency Application site burning
709,Nuforce Mouth Paint,Fungal infections of mouth (Thrush),No common side effects seen Blisters Skin peeling Swelling Application site irritation
710,Nuforce Mouth Paint,Fungal infections,No common side effects seen Blisters Skin peeling Swelling Application site irritation
711,Nailrox Nail Lacquer,Fungal skin infections Fungal nail infections,Application site reactions burning irritation itching and redness
712,Nuforce Anti Dandruff Lotion,Fungal skin infections,Application site reactions burning irritation itching and redness
713,Nuforce 150 Tablet,Fungal infections,Headache Nausea Stomach pain
714,Nuforce Dusting Powder,Fungal skin infections,Blisters Skin peeling Swelling Application site irritation
715,Natamet Eye Drop,Fungal infections of eye,Eye irritation
716,Nuforce 400mg Tablet,Fungal infections,Headache Nausea Stomach pain
717,Nuflucon Ear Drop,Fungal infections,Ear discomfort Headache Nausea Stomach pain
718,Nailon Nail Lacquer,Fungal skin infections Fungal nail infections,Application site reactions burning irritation itching and redness
719,Nuforce 200 Tablet,Fungal infections,Headache Nausea Stomach pain
720,Novale Bar,Fungal skin infections,Skin peeling Application site reactions burning irritation itching and redness Nausea Vomiting Abdominal pain Increased liver enzymes Application site redness Itching Diarrhea Abnormal liver function tests Adrenal insufficiency Application site burning
721,Nuforce Soap,Fungal skin infections,Blisters Skin peeling Swelling Application site irritation
722,Nizral Cream,Fungal skin infections,Skin peeling Application site reactions burning irritation itching and redness Nausea Vomiting Abdominal pain Increased liver enzymes Application site redness Itching Diarrhea Abnormal liver function tests Adrenal insufficiency Application site burning
723,Nailrox Cream,Fungal skin infections Fungal nail infections,Application site reactions burning irritation itching and redness
724,Niofine Forte Tablet,Fungal infections,Headache Diarrhea Rash Indigestion Abnormal liver enzyme Itching Taste change Nausea Abdominal pain Flatulence
725,Niofine Tablet,Fungal infections,Headache Diarrhea Rash Indigestion Abnormal liver enzyme Itching Taste change Nausea Abdominal pain Flatulence
726,Nixitral 100 Capsule,Fungal infections,Nausea Abdominal pain Constipation Dizziness Headache Indigestion Vomiting
727,Niofine Dusting Powder,Fungal skin infections,Application site reactions burning irritation itching and redness Skin peeling Headache Diarrhea Rash Indigestion Abnormal liver enzyme Itching Taste change Nausea Abdominal pain Flatulence
728,Nizoclin-SX Lotion,Fungal skin infections,Skin peeling Application site reactions burning irritation itching and redness Nausea Vomiting Abdominal pain Increased liver enzymes Application site redness Itching Diarrhea Abnormal liver function tests Adrenal insufficiency Application site burning
729,Nizoclin Soap,Fungal skin infections,Skin peeling Application site reactions burning irritation itching and redness Nausea Vomiting Abdominal pain Increased liver enzymes Application site redness Itching Diarrhea Abnormal liver function tests Adrenal insufficiency Application site burning
730,Nixitral 200 Capsule,Fungal infections,Nausea Abdominal pain Constipation Dizziness Headache Indigestion Vomiting
731,Novale Scalp Lotion,Fungal skin infections,Skin peeling Application site reactions burning irritation itching and redness Nausea Vomiting Abdominal pain Increased liver enzymes Application site redness Itching Diarrhea Abnormal liver function tests Adrenal insufficiency Application site burning
732,Naftate Cream,Fungal skin infections,Skin irritation Itching Skin rash
733,Nozal Soap,Fungal skin infections,Skin peeling Application site reactions burning irritation itching and redness Nausea Vomiting Abdominal pain Increased liver enzymes Application site redness Itching Diarrhea Abnormal liver function tests Adrenal insufficiency Application site burning
734,Nizol Shampoo,Fungal infections,Dryness Hair discoloration Abnormal hair texture Nausea Vomiting Abdominal pain Increased liver enzymes Application site redness Itching Diarrhea Abnormal liver function tests Adrenal insufficiency Application site burning
735,Nizoclin Cream,Fungal skin infections,Skin peeling Application site reactions burning irritation itching and redness Nausea Vomiting Abdominal pain Increased liver enzymes Application site redness Itching Diarrhea Abnormal liver function tests Adrenal insufficiency Application site burning
736,Nokver 200 Capsule,Fungal infections,Nausea Abdominal pain Constipation Dizziness Headache Indigestion Vomiting
737,Onabet 2% Cream,Fungal skin infections,Application site reactions burning irritation itching and redness Skin irritation
738,Onabet 2% Cream,Fungal infections,Application site reactions burning irritation itching and redness Skin irritation
739,Onecan 150 Tablet,Fungal infections,Headache Nausea Stomach pain
740,Onabet SD Solution,Fungal skin infections,Application site reactions burning irritation itching and redness
741,Onabet Lotion,Fungal skin infections,Application site reactions burning irritation itching and redness Skin irritation
742,Onabet Lotion,Fungal infections,Application site reactions burning irritation itching and redness Skin irritation
743,Onitraz -Forte Capsule,Fungal infections,Nausea Abdominal pain Constipation Dizziness Headache Indigestion Vomiting
744,Onitraz Capsule,Fungal infections,Nausea Abdominal pain Constipation Dizziness Headache Indigestion Vomiting
745,Onabet Max Cream,Fungal skin infections,Application site reactions burning irritation itching and redness Skin irritation
746,Onabet Max Cream,Fungal infections,Application site reactions burning irritation itching and redness Skin irritation
747,Orasep OT Mouth Paint,Fungal infections of mouth (Thrush),No common side effects seen Blisters Skin peeling Swelling Application site irritation
748,Orasep OT Mouth Paint,Fungal infections,No common side effects seen Blisters Skin peeling Swelling Application site irritation
749,Otodac-CL Ear Drop,Fungal infections,Application site reactions burning irritation itching and redness
750,Onabet 2% Cream,Fungal skin infections,Application site reactions burning irritation itching and redness Skin irritation
751,Onabet 2% Cream,Fungal infections,Application site reactions burning irritation itching and redness Skin irritation
752,Oxicojen Cream,Fungal skin infections,Dry skin Burning sensation Skin irritation Skin peeling Blisters on skin
753,Orogard Mouth Paint,Fungal infections of mouth (Thrush),No common side effects seen Blisters Skin peeling Swelling Application site irritation
754,Orogard Mouth Paint,Fungal infections,No common side effects seen Blisters Skin peeling Swelling Application site irritation
755,Onecan 400 Tablet,Fungal infections,Headache Nausea Stomach pain
756,Oxicojen Lotion,Fungal skin infections,Dry skin Burning sensation Skin irritation Skin peeling Blisters on skin
757,Onecan Dusting Powder,Fungal skin infections,Application site reactions burning irritation itching and redness Headache Nausea Stomach pain
758,Onecan Dusting Powder,Fungal infections,Application site reactions burning irritation itching and redness Headache Nausea Stomach pain
759,Onecan 50mg Tablet,Fungal infections,Headache Nausea Stomach pain
760,Orkid-L Cream,Fungal skin infections,Application site reactions burning irritation itching and redness Dry skin Skin peeling Blisters on skin
761,Oxicojen Cream,Fungal skin infections,Dry skin Burning sensation Skin irritation Skin peeling Blisters on skin
762,Ocona-Z Lotion,Fungal skin infections,Application site reactions burning irritation itching and redness
763,Odicon 150 Tablet,Fungal infections,Headache Nausea Stomach pain
764,Odicon- K Lotion,Fungal skin infections,Application site reactions burning irritation itching and redness
765,Ocona  Soap,Fungal skin infections,Skin peeling Application site reactions burning irritation itching and redness Nausea Vomiting Abdominal pain Increased liver enzymes Application site redness Itching Diarrhea Abnormal liver function tests Adrenal insufficiency Application site burning
766,Oldid-V Vaginal gel,Fungal infections of vagina,Irritation Vaginal burning sensation Blisters Skin peeling Swelling Application site irritation
767,Oldid-V Vaginal gel,Fungal infections,Irritation Vaginal burning sensation Blisters Skin peeling Swelling Application site irritation
768,Oldid Mouth Paint,Fungal infections of mouth (Thrush),No common side effects seen Blisters Skin peeling Swelling Application site irritation
769,Oldid Mouth Paint,Fungal infections,No common side effects seen Blisters Skin peeling Swelling Application site irritation
770,Phytoral Ointment,Fungal skin infections,Skin peeling Application site reactions burning irritation itching and redness Nausea Vomiting Abdominal pain Increased liver enzymes Application site redness Itching Diarrhea Abnormal liver function tests Adrenal insufficiency Application site burning
771,Propyzole NF Cream,Fungal skin infections,Burning sensation Stinging sensation Erythema skin redness Irritation Itching
772,Phytoral Tablet,Fungal infections,Nausea Vomiting Abdominal pain Increased liver enzymes Application site redness Itching Diarrhea Abnormal liver function tests Adrenal insufficiency Application site burning
773,Profulvin 500 Tablet,Fungal infections,Headache Skin rash Nausea Diarrhea Dizziness
774,Panderm + Dusting Powder,Fungal skin infections,Blisters Skin peeling Swelling Application site irritation
775,Pamoria Cream,Fungal nail infections,Blisters on skin Nail disorder Skin irritation Skin rash Erythema skin redness
776,Phytoral B Cream,Fungal skin infections,Application site reactions burning irritation itching and redness
777,Phytoral Dusting Powder,Fungal skin infections,Skin peeling Application site reactions burning irritation itching and redness Nausea Vomiting Abdominal pain Increased liver enzymes Application site redness Itching Diarrhea Abnormal liver function tests Adrenal insufficiency Application site burning
778,Pilzban Cream,Fungal skin infections,Dry skin Burning sensation Skin irritation Skin peeling Blisters on skin
779,Pilzban Cream,Fungal skin infections,Dry skin Burning sensation Skin irritation Skin peeling Blisters on skin
780,Phytoral-XL Cream,Fungal skin infections,Skin peeling Application site reactions burning irritation itching and redness Nausea Vomiting Abdominal pain Increased liver enzymes Application site redness Itching Diarrhea Abnormal liver function tests Adrenal insufficiency Application site burning
781,Protek  Soap,Fungal skin infections,Skin peeling Application site reactions burning irritation itching and redness Nausea Vomiting Abdominal pain Increased liver enzymes Application site redness Itching Diarrhea Abnormal liver function tests Adrenal insufficiency Application site burning
782,PH-Bar,Fungal skin infections,Skin peeling Application site reactions burning irritation itching and redness Nausea Vomiting Abdominal pain Increased liver enzymes Application site redness Itching Diarrhea Abnormal liver function tests Adrenal insufficiency Application site burning
783,PH-Bar,Fungal skin infections,Skin peeling Application site reactions burning irritation itching and redness Nausea Vomiting Abdominal pain Increased liver enzymes Application site redness Itching Diarrhea Abnormal liver function tests Adrenal insufficiency Application site burning
784,Rolfin Cream,Fungal nail infections,Blisters on skin Nail disorder Skin irritation Skin rash Erythema skin redness
785,Revilus KZ Lotion,Fungal skin infections,Application site reactions burning irritation itching and redness
786,Rizole DS Cream,Fungal skin infections,Blisters Skin peeling Swelling Application site irritation
787,Rivizole Cream,Fungal skin infections,Vaginal burning sensation Genital itching Vulvovaginal discomfort Pain during periods
788,Rolifin-XL Cream,Fungal nail infections,Blisters on skin Nail disorder Skin irritation Skin rash Erythema skin redness
789,Rivizole F Ointment,Fungal skin infections,Skin peeling Blisters on skin Dry skin Application site reactions burning irritation itching and redness
790,Rexizole 1% Cream,Fungal skin infections,Blisters Skin peeling Swelling Application site irritation
791,Surfaz Cream,Fungal skin infections,Blisters Skin peeling Swelling Application site irritation
792,Syscan 150 Capsule,Fungal infections,Headache Nausea Stomach pain
793,Sebifin Tablet,Fungal infections,Headache Diarrhea Rash Indigestion Abnormal liver enzyme Itching Taste change Nausea Abdominal pain Flatulence
794,Syntran 200 Capsule,Fungal infections,Nausea Abdominal pain Constipation Dizziness Headache Indigestion Vomiting
795,Syntran Capsule,Fungal infections,Nausea Abdominal pain Constipation Dizziness Headache Indigestion Vomiting
796,Syscan 200 Capsule,Fungal infections,Headache Nausea Stomach pain
797,Seriva Cream,Fungal skin infections,Application site reactions burning irritation itching and redness Skin irritation
798,Seriva Cream,Fungal infections,Application site reactions burning irritation itching and redness Skin irritation
799,Sebifin Plus Cream,Fungal skin infections,Application site reactions burning irritation itching and redness Burning sensation Skin atrophy Skin exfoliation
800,Sporanox Capsule,Fungal infections,Nausea Abdominal pain Constipation Dizziness Headache Indigestion Vomiting
801,Surfaz Dusting Powder,Fungal skin infections,Blisters Skin peeling Swelling Application site irritation
802,Sebifin Cream,Fungal skin infections,Application site reactions burning irritation itching and redness Skin peeling Headache Diarrhea Rash Indigestion Abnormal liver enzyme Itching Taste change Nausea Abdominal pain Flatulence
803,Syntran SB Capsule,Fungal infections,Nausea Abdominal pain Constipation Dizziness Headache Indigestion Vomiting
804,SzHH Cream,Fungal skin infections,Application site reactions burning irritation itching and redness Skin irritation
805,SzHH Cream,Fungal infections,Application site reactions burning irritation itching and redness Skin irritation
806,Sertaspor Cream,Fungal skin infections,Application site reactions burning irritation itching and redness Skin irritation
807,Sertaspor Cream,Fungal infections,Application site reactions burning irritation itching and redness Skin irritation
808,Synpirox Cream,Fungal skin infections Fungal nail infections,Application site reactions burning irritation itching and redness
809,Seriva Cream,Fungal skin infections,Application site reactions burning irritation itching and redness Skin irritation
810,Seriva Cream,Fungal infections,Application site reactions burning irritation itching and redness Skin irritation
811,Setrabet 2% Cream,Fungal skin infections,Application site reactions burning irritation itching and redness Skin irritation
812,Setrabet 2% Cream,Fungal infections,Application site reactions burning irritation itching and redness Skin irritation
813,Surfaz-O Tablet,Fungal infections,Headache Nausea Stomach pain
814,Scalnex CT Lotion,Fungal skin infections,Application site reactions burning irritation itching and redness
815,Sertaspor Cream,Fungal skin infections,Application site reactions burning irritation itching and redness Skin irritation
816,Sertaspor Cream,Fungal infections,Application site reactions burning irritation itching and redness Skin irritation
817,Surfaz Topical Solution,Fungal skin infections,Blisters Skin peeling Swelling Application site irritation
818,Synpirox Vaginal Cream,Fungal infections of vagina,Application site itching
819,Salisia KT Soap,Fungal skin infections,Skin peeling Application site reactions burning irritation itching and redness Nausea Vomiting Abdominal pain Increased liver enzymes Application site redness Itching Diarrhea Abnormal liver function tests Adrenal insufficiency Application site burning
820,Sertaspor Cream,Fungal skin infections,Application site reactions burning irritation itching and redness Skin irritation
821,Sertaspor Cream,Fungal infections,Application site reactions burning irritation itching and redness Skin irritation
822,Sercos-VT Tablet,Fungal infections of vagina,Vaginal burning sensation Application site reactions burning irritation itching and redness Skin irritation
823,Sercos-VT Tablet,Fungal infections,Vaginal burning sensation Application site reactions burning irritation itching and redness Skin irritation
824,Strafos Cream,Fungal nail infections,Blisters on skin Nail disorder Skin irritation Skin rash Erythema skin redness
825,SGK Cream,Fungal skin infections,Skin peeling Application site reactions burning irritation itching and redness Nausea Vomiting Abdominal pain Increased liver enzymes Application site redness Itching Diarrhea Abnormal liver function tests Adrenal insufficiency Application site burning
826,Skitofine 250 Tablet,Fungal infections,Headache Diarrhea Rash Indigestion Abnormal liver enzyme Itching Taste change Nausea Abdominal pain Flatulence
827,Sertacide Cream,Fungal skin infections,Application site reactions burning irritation itching and redness Skin irritation
828,Sertacide Cream,Fungal infections,Application site reactions burning irritation itching and redness Skin irritation
829,Sebandro Soap,Fungal skin infections,Skin peeling Application site reactions burning irritation itching and redness Nausea Vomiting Abdominal pain Increased liver enzymes Application site redness Itching Diarrhea Abnormal liver function tests Adrenal insufficiency Application site burning
830,Seriva 2% Lotion,Fungal skin infections,Application site reactions burning irritation itching and redness Skin irritation
831,Seriva 2% Lotion,Fungal infections,Application site reactions burning irritation itching and redness Skin irritation
832,Satasun Cream,Fungal skin infections,Application site reactions burning irritation itching and redness Skin irritation
833,Satasun Cream,Fungal infections,Application site reactions burning irritation itching and redness Skin irritation
834,Sertawar Cream,Fungal skin infections,Application site reactions burning irritation itching and redness Skin irritation
835,Sertawar Cream,Fungal infections,Application site reactions burning irritation itching and redness Skin irritation
836,Sercos Cream,Fungal skin infections,Application site reactions burning irritation itching and redness Skin irritation
837,Sercos Cream,Fungal infections,Application site reactions burning irritation itching and redness Skin irritation
838,Sertavin Cream,Fungal skin infections,Application site reactions burning irritation itching and redness Skin irritation
839,Sertavin Cream,Fungal infections,Application site reactions burning irritation itching and redness Skin irritation
840,Steno Cream,Fungal skin infections,Application site reactions burning irritation itching and redness Skin irritation
841,Steno Cream,Fungal infections,Application site reactions burning irritation itching and redness Skin irritation
842,Terbinaforce Tablet,Fungal infections,Headache Diarrhea Rash Indigestion Abnormal liver enzyme Itching Taste change Nausea Abdominal pain Flatulence
843,Terbinaforce Cream,Fungal skin infections,Application site reactions burning irritation itching and redness Skin peeling Headache Diarrhea Rash Indigestion Abnormal liver enzyme Itching Taste change Nausea Abdominal pain Flatulence
844,Terbinaforce 500 Tablet,Fungal infections,Headache Diarrhea Rash Indigestion Abnormal liver enzyme Itching Taste change Nausea Abdominal pain Flatulence
845,Terbest Cream,Fungal skin infections,Application site reactions burning irritation itching and redness Skin peeling Headache Diarrhea Rash Indigestion Abnormal liver enzyme Itching Taste change Nausea Abdominal pain Flatulence
846,Terbest Tablet,Fungal infections,Headache Diarrhea Rash Indigestion Abnormal liver enzyme Itching Taste change Nausea Abdominal pain Flatulence
847,Terbicip Cream,Fungal skin infections,Application site reactions burning irritation itching and redness Skin peeling Headache Diarrhea Rash Indigestion Abnormal liver enzyme Itching Taste change Nausea Abdominal pain Flatulence
848,Triben B Cream,Fungal skin infections,Paresthesia tingling or pricking sensation Burning sensation Dry skin
849,Terbest Cream,Fungal skin infections,Application site reactions burning irritation itching and redness Skin peeling Headache Diarrhea Rash Indigestion Abnormal liver enzyme Itching Taste change Nausea Abdominal pain Flatulence
850,Triben- B Lotion,Fungal skin infections,Paresthesia tingling or pricking sensation Burning sensation Dry skin
851,Tyza M Gel,Fungal skin infections,Application site reactions burning irritation itching and redness Burning sensation Skin atrophy Skin exfoliation
852,Trfy 250 Tablet,Fungal infections,Headache Diarrhea Rash Indigestion Abnormal liver enzyme Itching Taste change Nausea Abdominal pain Flatulence
853,Tyza Cream,Fungal skin infections,Application site reactions burning irritation itching and redness Skin peeling Headache Diarrhea Rash Indigestion Abnormal liver enzyme Itching Taste change Nausea Abdominal pain Flatulence
854,Terbest 500 Tablet,Fungal infections,Headache Diarrhea Rash Indigestion Abnormal liver enzyme Itching Taste change Nausea Abdominal pain Flatulence
855,Terbitotal Tablet,Fungal infections,Headache Diarrhea Rash Indigestion Abnormal liver enzyme Itching Taste change Nausea Abdominal pain Flatulence
856,Trfy Cream,Fungal skin infections,Application site reactions burning irritation itching and redness Skin peeling Headache Diarrhea Rash Indigestion Abnormal liver enzyme Itching Taste change Nausea Abdominal pain Flatulence
857,Terbinaforce-M Cream,Fungal skin infections,Application site reactions burning irritation itching and redness Burning sensation Skin atrophy Skin exfoliation
858,Tyza Dusting Powder,Fungal skin infections,Application site reactions burning irritation itching and redness Skin peeling Headache Diarrhea Rash Indigestion Abnormal liver enzyme Itching Taste change Nausea Abdominal pain Flatulence
859,Terbinaforce Dusting Powder,Fungal skin infections,Application site reactions burning irritation itching and redness Skin peeling Headache Diarrhea Rash Indigestion Abnormal liver enzyme Itching Taste change Nausea Abdominal pain Flatulence
860,Triben AD Anti-Dandruff Lotion,Fungal skin infections,Application site reactions burning irritation itching and redness
861,Terbitotal 500 Tablet,Fungal infections,Headache Diarrhea Rash Indigestion Abnormal liver enzyme Itching Taste change Nausea Abdominal pain Flatulence
862,Texifen 250mg Tablet,Fungal infections,Headache Diarrhea Rash Indigestion Abnormal liver enzyme Itching Taste change Nausea Abdominal pain Flatulence
863,Tyza Cream,Fungal skin infections,Application site reactions burning irritation itching and redness Skin peeling Headache Diarrhea Rash Indigestion Abnormal liver enzyme Itching Taste change Nausea Abdominal pain Flatulence
864,Tebina Tablet,Fungal infections,Headache Diarrhea Rash Indigestion Abnormal liver enzyme Itching Taste change Nausea Abdominal pain Flatulence
865,Terbigen 250 Tablet,Fungal infections,Headache Diarrhea Rash Indigestion Abnormal liver enzyme Itching Taste change Nausea Abdominal pain Flatulence
866,Texifen Cream,Fungal skin infections,Application site reactions burning irritation itching and redness Skin peeling Headache Diarrhea Rash Indigestion Abnormal liver enzyme Itching Taste change Nausea Abdominal pain Flatulence
867,Terbicip Spray,Fungal skin infections,Application site reactions burning irritation itching and redness Skin peeling Headache Diarrhea Rash Indigestion Abnormal liver enzyme Itching Taste change Nausea Abdominal pain Flatulence
868,Tebina Cream,Fungal skin infections,Application site reactions burning irritation itching and redness Skin peeling Headache Diarrhea Rash Indigestion Abnormal liver enzyme Itching Taste change Nausea Abdominal pain Flatulence
869,Terbicort-Total Cream,Dermatitis Fungal skin infections,Application site reactions burning irritation itching and redness
870,Tebina 500 Tablet,Fungal infections,Headache Diarrhea Rash Indigestion Abnormal liver enzyme Itching Taste change Nausea Abdominal pain Flatulence
871,Terefin Cream,Fungal skin infections,Application site reactions burning irritation itching and redness Skin peeling Headache Diarrhea Rash Indigestion Abnormal liver enzyme Itching Taste change Nausea Abdominal pain Flatulence
872,Terbiderm Cream,Fungal skin infections,Application site reactions burning irritation itching and redness Skin peeling Headache Diarrhea Rash Indigestion Abnormal liver enzyme Itching Taste change Nausea Abdominal pain Flatulence
873,Terbinator 250 Tablet,Fungal infections,Headache Diarrhea Rash Indigestion Abnormal liver enzyme Itching Taste change Nausea Abdominal pain Flatulence
874,Terbest Dusting Powder,Fungal skin infections,Application site reactions burning irritation itching and redness Skin peeling Headache Diarrhea Rash Indigestion Abnormal liver enzyme Itching Taste change Nausea Abdominal pain Flatulence
875,Triben CN Cream,Fungal skin infections,Burning sensation Stinging sensation Erythema skin redness Irritation Itching
876,Terbest Dusting Powder,Fungal skin infections,Application site reactions burning irritation itching and redness Skin peeling Headache Diarrhea Rash Indigestion Abnormal liver enzyme Itching Taste change Nausea Abdominal pain Flatulence
877,Triben Lotion,Fungal skin infections,Blisters Skin peeling Swelling Application site irritation
878,Terbocet 250 Tablet,Fungal infections,Headache Diarrhea Rash Indigestion Abnormal liver enzyme Itching Taste change Nausea Abdominal pain Flatulence
879,Tcris Cream,Fungal nail infections,Blisters on skin Nail disorder Skin irritation Skin rash Erythema skin redness
880,Terbison Cream,Fungal skin infections,Application site reactions burning irritation itching and redness Skin peeling Headache Diarrhea Rash Indigestion Abnormal liver enzyme Itching Taste change Nausea Abdominal pain Flatulence
881,Triben Dusting Powder,Fungal skin infections,Blisters Skin peeling Swelling Application site irritation
882,Tebina 125mg Tablet DT,Fungal infections,Headache Diarrhea Rash Indigestion Abnormal liver enzyme Itching Taste change Nausea Abdominal pain Flatulence
883,Terbicort Cream,Fungal skin infections,Application site reactions burning irritation itching and redness Burning sensation Skin atrophy Skin exfoliation
884,Terbiskin-M Cream,Fungal skin infections,Application site reactions burning irritation itching and redness Burning sensation Skin atrophy Skin exfoliation
885,Tinitraz 200 Capsule,Fungal infections,Nausea Abdominal pain Constipation Dizziness Headache Indigestion Vomiting
886,Triben Dusting Powder,Fungal skin infections,Blisters Skin peeling Swelling Application site irritation
887,Terfin Cream,Fungal skin infections,Application site reactions burning irritation itching and redness Skin peeling Headache Diarrhea Rash Indigestion Abnormal liver enzyme Itching Taste change Nausea Abdominal pain Flatulence
888,Terbiface Cream,Fungal skin infections,Application site reactions burning irritation itching and redness Skin peeling Headache Diarrhea Rash Indigestion Abnormal liver enzyme Itching Taste change Nausea Abdominal pain Flatulence
889,Tcris Cream,Fungal nail infections,Blisters on skin Nail disorder Skin irritation Skin rash Erythema skin redness
890,Terbicrat Cream,Fungal skin infections,Application site reactions burning irritation itching and redness Skin peeling Headache Diarrhea Rash Indigestion Abnormal liver enzyme Itching Taste change Nausea Abdominal pain Flatulence
891,Terbifast 1% Cream,Fungal skin infections,Application site reactions burning irritation itching and redness Skin peeling Headache Diarrhea Rash Indigestion Abnormal liver enzyme Itching Taste change Nausea Abdominal pain Flatulence
892,Topcos 500 Tablet,Fungal infections,Headache Diarrhea Rash Indigestion Abnormal liver enzyme Itching Taste change Nausea Abdominal pain Flatulence
893,Terfin Dusting Powder,Fungal skin infections,Application site reactions burning irritation itching and redness Skin peeling Headache Diarrhea Rash Indigestion Abnormal liver enzyme Itching Taste change Nausea Abdominal pain Flatulence
894,Tcris Cream,Fungal nail infections,Blisters on skin Nail disorder Skin irritation Skin rash Erythema skin redness
895,Terbee Cream,Fungal skin infections,Application site reactions burning irritation itching and redness Skin peeling Headache Diarrhea Rash Indigestion Abnormal liver enzyme Itching Taste change Nausea Abdominal pain Flatulence
896,Ultican 200mg Capsule,Fungal infections,Headache Nausea Stomach pain
897,Vozole Eye Drop,Fungal infections of eye Severe fungal infections,Eye irritation Burning sensation Blurred vision
898,V Druf Lotion,Fungal skin infections,Application site reactions burning irritation itching and redness
899,Vincan Injection,Fungal infections,Headache Nausea Stomach pain
900,Xerofung 200 Capsule,Fungal infections,Nausea Abdominal pain Constipation Dizziness Headache Indigestion Vomiting
901,Xerofung 100 Capsule,Fungal infections,Nausea Abdominal pain Constipation Dizziness Headache Indigestion Vomiting
902,Zole-F Ointment,Fungal skin infections,Skin peeling Blisters on skin Dry skin Application site reactions burning irritation itching and redness
903,Zocon 150 Tablet,Fungal infections,Headache Nausea Stomach pain
904,Zoderm E Cream,Fungal skin infections,Dry skin Burning sensation Skin irritation Skin peeling Blisters on skin
