,Medicine Name,Uses,Side_effects
5481,Metagard CR 60 Tablet,Angina ,"Dizziness, Headache, Nausea, Vomiting, Weakness, Rash, Abdominal pain, Indigestion, Itching, Diarrhea, Hives"
5482,Morease- SR Capsule,Irritable bowel syndrome,"Fainting, Skin rash, Angioedema swelling of deeper layers of skin"
5483,Mucaine Gel Orange,Acidity,"Constipation, Diarrhea, Allergic reaction"
5483,Mucaine Gel Orange,Heartburn,"Constipation, Diarrhea, Allergic reaction"
5483,Mucaine Gel Orange,Stomach ulcers,"Constipation, Diarrhea, Allergic reaction"
5484,Mazetol 100 Tablet,"Epilepsy/, Seizures, Trigeminal neuralgia, Diabetic nerve pain","Dizziness, Nausea, Vomiting, Constipation, Sleepiness, Abnormality of voluntary movements"
5485,Mox Kid 250mg Tablet,Bacterial infections,"Nausea, Diarrhea, Skin rash, Vomiting"
5486,Metrogyl Compound Plus  Tablet,Diarrhea,"Nausea, Vomiting, Taste change, Flatulence, Sleepiness, Headache, Dizziness"
5487,Moisol-Z Eye Drops,Dry eyes,Blurred vision
5488,Mucotab Tablet,Paracetamol toxicity,"Fever, Nausea, Vomiting, Rash, Gastrointestinal discomfort"
5489,Mesahenz 1200 Tablet PR,"Ulcerative colitis, Crohn’s disease","Stomach pain epigastric pain, Flatulence, Headache, Vomiting, Diarrhea, Nausea, Abdominal pain, Rash"
5490,Maxgalin M 50 Capsule,Neuropathic pain,"Dizziness, Sleepiness, Tiredness, Uncoordinated body movements"
5491,Matiz SR Capsule,Irritable bowel syndrome,"Fainting, Skin rash, Angioedema swelling of deeper layers of skin"
5492,Mlobe Eye Drop,Bacterial eye infections,"Eye discomfort, Dry eye, Burning sensation in eye"
5493,Maxiflo 250 Rotacaps,Chronic obstructive pulmonary disease ,"Headache, Cough, Upper respiratory tract infection, Nasopharyngitis inflammation of the throat and nasal passages, Sinus inflammation, Stomach discomfort, Fungal infection of oropharynx, Tremors, Palpitations, Voice change"
5494,Mesacol CR 1gm Granules,"Ulcerative colitis, Crohn’s disease","Stomach pain epigastric pain, Flatulence, Headache, Vomiting, Diarrhea, Nausea, Abdominal pain, Rash"
5495,Myhep All Tablet,"Chronic hepatitis, C virus  infection","Headache, Tiredness"
5496,Megatin DC Capsule,Bacterial infections,"Rash, Vomiting, Allergic reaction, Stomach pain, Nausea, Diarrhea"
5497,Mycofit 500 Tablet,,"Nausea, Vomiting, Diarrhea, Abdominal pain, Headache, High blood pressure, Decreased white blood cell count neutrophils, Fungal infection, Low blood platelets, Anemia low number of red blood cells, Skin cancer, Bacterial infection, Hypercholesterolemia high cholesterol, Viral infection, Electrolyte imbalance, Gout, Weight loss, Tremors, Convulsion, Tumor"
5497,Mycofit 500 Tablet,organ rejection in transplant patients,"Nausea, Vomiting, Diarrhea, Abdominal pain, Headache, High blood pressure, Decreased white blood cell count neutrophils, Fungal infection, Low blood platelets, Anemia low number of red blood cells, Skin cancer, Bacterial infection, Hypercholesterolemia high cholesterol, Viral infection, Electrolyte imbalance, Gout, Weight loss, Tremors, Convulsion, Tumor"
5498,Minirin 0.2mg Tablet,"Diabetes insipidus, Bed-wetting","Headache, Nausea, Stomach pain"
5499,Mactor F Tablet,High cholesterol,"Nausea, Stomach pain, Constipation, Flatulence, Headache, Muscle pain, Increased liver enzymes, Increased glucose level in blood"
5499,Mactor F Tablet,Heart attack,"Nausea, Stomach pain, Constipation, Flatulence, Headache, Muscle pain, Increased liver enzymes, Increased glucose level in blood"
5500,Mahacef-Plus 100 Tablet,Typhoid fever,"Loss of appetite, Allergy"
5500,Mahacef-Plus 100 Tablet,Bacterial infections,"Loss of appetite, Allergy"
5501,Megatas 50 Tablet ER,Overactive bladder  symptoms,"Constipation, Headache, High blood pressure, Nasal inflammation, Urinary tract infection, Fast heart rate, Joint pain"
5502,Metadec 25 Injection,Post menopausal osteoporosis,"Edema swelling, Nausea, Breast enlargement, Acne"
5503,Mesacol 800 Tablet DR,"Ulcerative colitis, Crohn’s disease","Stomach pain epigastric pain, Flatulence, Headache, Vomiting, Diarrhea, Nausea, Abdominal pain, Rash"
5504,Moxinow Tablet SR,Bacterial infections,"Headache, Dizziness, Stomach pain, Nausea, Flatulence, Diarrhea"
5505,Mobicam 20mg Tablet DT,Pain relief,"Vomiting, Stomach pain, Nausea, Headache, Dizziness"
5506,Metzok 25 Tablet PR,Hypertension ,"Fatigue, Headache, Slow heart rate, Dizziness, Nausea, Breathlessness, Rash, Diarrhea, Depression"
5506,Metzok 25 Tablet PR,Angina ,"Fatigue, Headache, Slow heart rate, Dizziness, Nausea, Breathlessness, Rash, Diarrhea, Depression"
5506,Metzok 25 Tablet PR,Arrhythmia,"Fatigue, Headache, Slow heart rate, Dizziness, Nausea, Breathlessness, Rash, Diarrhea, Depression"
5506,Metzok 25 Tablet PR,Heart attack,"Fatigue, Headache, Slow heart rate, Dizziness, Nausea, Breathlessness, Rash, Diarrhea, Depression"
5506,Metzok 25 Tablet PR,Migraine,"Fatigue, Headache, Slow heart rate, Dizziness, Nausea, Breathlessness, Rash, Diarrhea, Depression"
5507,Milflox DF Eye Drop,Bacterial eye infections,"Eye irritation, Eye discomfort, Blurred vision"
5508,Migon Tablet,Migraine,"Sleepiness, Weight gain, Muscle pain, Fatigue, Constipation, Nausea, Insomnia difficulty in sleeping, Runny nose, Increased appetite, Depression, Stomach discomfort, Breast pain"
5509,Mahacef Dry Syrup,Bacterial infections,"Abdominal pain, Allergy, Nausea, Stomach pain, Indigestion, Diarrhea"
5510,Metasone F  Cream,Skin conditions with inflammation & itching,"Headache, Sore throat, Itching, Nosebleeds, Viral infection, Upper respiratory tract infection, Vomiting"
5511,Mupivate Ointment,Bacterial skin infections,"Itching, Burning sensation, Stinging sensation, Pain"
5512,Met XL 12.5 Tablet,Hypertension ,"Fatigue, Headache, Slow heart rate, Dizziness, Nausea, Breathlessness, Rash, Diarrhea, Depression"
5512,Met XL 12.5 Tablet,Angina ,"Fatigue, Headache, Slow heart rate, Dizziness, Nausea, Breathlessness, Rash, Diarrhea, Depression"
5512,Met XL 12.5 Tablet,Arrhythmia,"Fatigue, Headache, Slow heart rate, Dizziness, Nausea, Breathlessness, Rash, Diarrhea, Depression"
5512,Met XL 12.5 Tablet,Heart attack,"Fatigue, Headache, Slow heart rate, Dizziness, Nausea, Breathlessness, Rash, Diarrhea, Depression"
5512,Met XL 12.5 Tablet,Migraine,"Fatigue, Headache, Slow heart rate, Dizziness, Nausea, Breathlessness, Rash, Diarrhea, Depression"
5513,Macfast 650 Tablet,Pain relief,"Stomach pain, Nausea, Vomiting"
5513,Macfast 650 Tablet,Fever,"Stomach pain, Nausea, Vomiting"
5514,Montair Plus Tablet,Asthma,"Diarrhea, Upper respiratory tract infection, Fever, Headache, Pharyngitis, Cough, Abdominal pain, Otitis media infection of ear, Influenza, Runny nose, Sinus inflammation, Tremors, Nervousness"
5515,Mfsudif Cream,Skin conditions with inflammation & itching,"Headache, Sore throat, Itching, Nosebleeds, Viral infection, Upper respiratory tract infection, Vomiting"
5516,Moxigram Eye Ointment,Bacterial eye infections,"Eye discomfort, Dry eye, Burning sensation in eye"
5517,Mikacin 100mg Injection,Bacterial infections,"Increased blood urea, Injection site reactions pain swelling redness"
5518,Mahacef OZ New Tablet,Bacterial & parasitic infections,"Nausea, Vomiting, Dizziness, Headache, Insomnia difficulty in sleeping, Itching, Vaginal inflammation, Diarrhea"
5519,Moxclav 375 Tablet,Bacterial infections,"Vomiting, Nausea, Diarrhea, Mucocutaneous candidiasis"
5520,Mendate 10 Tablet CR,Heavy menstrual bleeding,"Headache, Dizziness, Breast tenderness, Nausea, Vaginal spotting, Vomiting, Abdominal cramp"
5520,Mendate 10 Tablet CR,Pain during menstruation,"Headache, Dizziness, Breast tenderness, Nausea, Vaginal spotting, Vomiting, Abdominal cramp"
5520,Mendate 10 Tablet CR,Endometriosis,"Headache, Dizziness, Breast tenderness, Nausea, Vaginal spotting, Vomiting, Abdominal cramp"
5520,Mendate 10 Tablet CR,Premenstrual syndrome ,"Headache, Dizziness, Breast tenderness, Nausea, Vaginal spotting, Vomiting, Abdominal cramp"
5521,ME-Pxl Tablet,Neuropathic pain,"Dizziness, Sleepiness, Tiredness, Uncoordinated body movements"
5522,M-Cin Tablet,Bacterial eye infections,"Eye discomfort, Dry eye, Burning sensation in eye"
5523,Megamentin 625 Tablet,Bacterial infections,"Vomiting, Nausea, Diarrhea, Mucocutaneous candidiasis"
5524,Moxisurge-D Eye Drop,Bacterial eye infections,"Eye irritation, Eye discomfort, Blurred vision"
5525,Mirabet 25 Tablet ER,Overactive bladder  symptoms,"Constipation, Headache, High blood pressure, Nasal inflammation, Urinary tract infection, Fast heart rate, Joint pain"
5526,Motilium M Tablet,Indigestion,"Headache, Dryness in mouth, Stomach pain, Diarrhea"
5526,Motilium M Tablet,Nausea,"Headache, Dryness in mouth, Stomach pain, Diarrhea"
5526,Motilium M Tablet,Vomiting,"Headache, Dryness in mouth, Stomach pain, Diarrhea"
5527,Macfast 500 Tablet,Pain relief,"Stomach pain, Nausea, Vomiting"
5527,Macfast 500 Tablet,Fever,"Stomach pain, Nausea, Vomiting"
5528,Moza MPS Chewable Tablet,"Constipation, Bloating","Diarrhea, Dryness in mouth, General discomfort, Abnormal liver function tests, Fulminant hepatitis viral infection of liver, Jaundice"
5529,Minirin Nasal Spray,Diabetes insipidus,"Nasal discomfort, Nasopharyngitis inflammation of the throat and nasal passages, Nasal congestion stuffy nose, Sneezing, Nosebleeds, Dizziness, Headache, Nausea, Cough"
5529,Minirin Nasal Spray,Bed-wetting,"Nasal discomfort, Nasopharyngitis inflammation of the throat and nasal passages, Nasal congestion stuffy nose, Sneezing, Nosebleeds, Dizziness, Headache, Nausea, Cough"
5530,Melapik  Ever New Cream,Melasma,"Skin peeling, Stinging sensation, Erythema skin redness, Burning sensation at the site of application"
5531,Mosi Eye Ointment,Bacterial eye infections,"Eye discomfort, Dry eye, Burning sensation in eye"
5532,Mahacef-XL 200 New Tablet,Bacterial infections,"Nausea, Vomiting, Diarrhea, Stomach pain, Indigestion, Flatulence, Rash"
5533,Mycofit-S 360 Tablet,,"Nausea, Vomiting, Diarrhea, Abdominal pain, Headache, High blood pressure, Decreased white blood cell count neutrophils, Bacterial infection, Fungal infection, Pneumonia, Increased uric acid level in blood, Electrolyte imbalance, Anxiety, Breathlessness, Increased creatinine level in blood, Anemia low number of red blood cells, Acne, Muscle pain"
5533,Mycofit-S 360 Tablet,organ rejection in transplant patients,"Nausea, Vomiting, Diarrhea, Abdominal pain, Headache, High blood pressure, Decreased white blood cell count neutrophils, Bacterial infection, Fungal infection, Pneumonia, Increased uric acid level in blood, Electrolyte imbalance, Anxiety, Breathlessness, Increased creatinine level in blood, Anemia low number of red blood cells, Acne, Muscle pain"
5534,Mox CV 375 Tablet,Bacterial infections,"Vomiting, Nausea, Diarrhea, Mucocutaneous candidiasis"
5535,Moximac Tablet,Bacterial eye infections,"Eye discomfort, Dry eye, Burning sensation in eye"
5536,Microcid-SR Capsule,Pain relief,"Visual disturbance, Vomiting, Stomach pain epigastric pain, Nausea, Indigestion, Dizziness, Drowsiness, Visual disorder"
5537,Melnor Cream,Melasma,Application site reactions burning irritation itching and redness
5538,Miofree 4 Capsule,Muscle relaxation,"Sleepiness, Diarrhea"
5539,Momoz Cream,Skin conditions with inflammation & itching,"Stinging sensation, Itching, Hair follicle inflammation"
5540,Moxiblu-LP Eye Drop,Eye infection with inflammation,"Eye irritation, Eye discomfort"
5541,Monticope Suspension,Sneezing and runny nose due to allergies,"Rash, Nausea, Diarrhea, Dryness in mouth, Fatigue, Headache, Skin rash, Sleepiness, Vomiting"
5541,Monticope Suspension,Hay fever,"Rash, Nausea, Diarrhea, Dryness in mouth, Fatigue, Headache, Skin rash, Sleepiness, Vomiting"
5541,Monticope Suspension,Allergic skin conditions,"Rash, Nausea, Diarrhea, Dryness in mouth, Fatigue, Headache, Skin rash, Sleepiness, Vomiting"
5542,Melano-TX OD Tablet SR,Bleeding,"Musculoskeletal bone muscle or joint pain, Joint pain, Headache, Back pain, Vomiting, Nausea, Abdominal pain, Fatigue, Diarrhea, Hypotension low blood pressure, Sinus disorder, Nasal discomfort, Muscle cramp, Migraine, Anemia low number of red blood cells, Allergic dermatitis, Lightheadedness, Thromboembolism"
5543,Mega-CV 375 Tablet,Bacterial infections,"Vomiting, Nausea, Diarrhea, Mucocutaneous candidiasis"
5544,Myo Pyrolate Injection,Reversing the effects of certain drugs used during surgery,Allergic reaction
5545,MMS Cream,Skin conditions with inflammation & itching,"Stinging sensation, Itching, Hair follicle inflammation"
5546,Mactor ASP 75 Capsule,,"Abdominal pain, Constipation, Flatulence, Increased liver enzymes, Hepatitis viral infection of liver, Reye s syndrome like symptoms"
5546,Mactor ASP 75 Capsule,heart attack and stroke,"Abdominal pain, Constipation, Flatulence, Increased liver enzymes, Hepatitis viral infection of liver, Reye s syndrome like symptoms"
5547,Moss Plus Eye Drop,Dry eyes,"Eye irritation, Burning eyes, Eye discomfort, Eye itching, Eye pain"
5548,Mycept-S 360 Tablet,,"Nausea, Vomiting, Diarrhea, Abdominal pain, Headache, High blood pressure, Decreased white blood cell count neutrophils, Bacterial infection, Fungal infection, Pneumonia, Increased uric acid level in blood, Electrolyte imbalance, Anxiety, Breathlessness, Increased creatinine level in blood, Anemia low number of red blood cells, Acne, Muscle pain"
5548,Mycept-S 360 Tablet,organ rejection in transplant patients,"Nausea, Vomiting, Diarrhea, Abdominal pain, Headache, High blood pressure, Decreased white blood cell count neutrophils, Bacterial infection, Fungal infection, Pneumonia, Increased uric acid level in blood, Electrolyte imbalance, Anxiety, Breathlessness, Increased creatinine level in blood, Anemia low number of red blood cells, Acne, Muscle pain"
5549,Metpure -XL 12.5 Tablet,Hypertension ,"Fatigue, Slow heart rate, Constipation, Diarrhea, Dizziness, Cold extremities"
5549,Metpure -XL 12.5 Tablet,Angina ,"Fatigue, Slow heart rate, Constipation, Diarrhea, Dizziness, Cold extremities"
5549,Metpure -XL 12.5 Tablet,Arrhythmia,"Fatigue, Slow heart rate, Constipation, Diarrhea, Dizziness, Cold extremities"
5549,Metpure -XL 12.5 Tablet,Heart attack,"Fatigue, Slow heart rate, Constipation, Diarrhea, Dizziness, Cold extremities"
5549,Metpure -XL 12.5 Tablet,Stroke,"Fatigue, Slow heart rate, Constipation, Diarrhea, Dizziness, Cold extremities"
5549,Metpure -XL 12.5 Tablet,Migraine,"Fatigue, Slow heart rate, Constipation, Diarrhea, Dizziness, Cold extremities"
5550,Montaz 250mg Injection,Bacterial infections,"Diarrhea, Increased liver enzymes, Allergic reaction, Rash"
5551,Marzon Tablet,Bacterial infections,"Vomiting, Nausea, Diarrhea"
5552,Meronem 500mg Injection,Severe bacterial infections,"Rash, Headache, Vomiting, Nausea, Itching, Diarrhea, Injection site inflammation, Anemia low number of red blood cells, Sepsis, Constipation, Apnea absence of breathing, Shock"
5553,Mixtard 50 HM 100IU/ml Penfill,Diabetes,"Hypoglycemia low blood glucose level, Injection site reactions pain swelling redness, Weight gain"
5554,Mucoend 600mg Tablet Orange Sugar Free,Paracetamol toxicity,"Fever, Nausea, Vomiting, Rash, Gastrointestinal discomfort"
5555,Macsart CH 40 Tablet,Hypertension ,"Dizziness, Back pain, Sinus infection, Diarrhea, Skin ulcer"
5556,Macsart CC  Tablet,Hypertension ,"Ankle swelling, Headache, Dizziness, Tiredness, Palpitations, Sleepiness, Increased blood uric acid, Glucose intolerance, Taste change, Flushing sense of warmth in the face ears neck and trunk, Upset stomach, Altered blood lipid level"
5557,Macpod 100-DT Tablet,Bacterial infections,"Rash, Nausea, Diarrhea"
5558,Moiz XL Cream,"Dry, Skin",Limited data available
5559,Mirabig 50mg Tablet ER,Overactive bladder  symptoms,"Constipation, Headache, High blood pressure, Nasal inflammation, Urinary tract infection, Fast heart rate, Joint pain"
5560,Megahenz 160mg Tablet,"Breast cancer, Endometrial cancer","Increased appetite, Weight gain, Hot flashes, High blood pressure, Constipation, Increased glucose level in blood"
5561,Mahacef 100mg Tablet,Bacterial infections,"Nausea, Stomach pain, Indigestion, Diarrhea"
5562,Micronac PF Eye Drop,Post-operative eye pain and inflammation,"Decreased vision, Foreign body sensation in eyes, Increased intraocular pressure, Stickiness"
5563,Metsmall 1000 Tablet SR,Type 2 diabetes mellitus,"Diarrhea, Nausea, Vomiting, Flatulence"
5564,Macgest SR 200 Tablet,Hormone replacement therapy,"Abdominal pain, Nausea, Abnormal vaginal bleeding, Edema swelling, Hair loss, Abdominal bloating, Headache, Breast pain, Vomiting, Vaginal yeast infection"
5564,Macgest SR 200 Tablet,Female infertility,"Abdominal pain, Nausea, Abnormal vaginal bleeding, Edema swelling, Hair loss, Abdominal bloating, Headache, Breast pain, Vomiting, Vaginal yeast infection"
5565,Metgem 500 Tablet ER,Type 2 diabetes mellitus,"Diarrhea, Nausea, Vomiting, Flatulence"
5566,Mucotab ET Tablet Orange Sugar Free,Paracetamol toxicity,"Fever, Nausea, Vomiting, Rash, Gastrointestinal discomfort"
5567,Mox Drops Redimix,Peptic ulcer disease,"Allergy, Nausea, Diarrhea, Skin rash, Vomiting"
5567,Mox Drops Redimix,Bacterial infections,"Allergy, Nausea, Diarrhea, Skin rash, Vomiting"
5568,Metzok 50 Tablet PR,Hypertension ,"Fatigue, Headache, Slow heart rate, Dizziness, Nausea, Breathlessness, Rash, Diarrhea, Depression"
5568,Metzok 50 Tablet PR,Angina ,"Fatigue, Headache, Slow heart rate, Dizziness, Nausea, Breathlessness, Rash, Diarrhea, Depression"
5568,Metzok 50 Tablet PR,Arrhythmia,"Fatigue, Headache, Slow heart rate, Dizziness, Nausea, Breathlessness, Rash, Diarrhea, Depression"
5568,Metzok 50 Tablet PR,Heart attack,"Fatigue, Headache, Slow heart rate, Dizziness, Nausea, Breathlessness, Rash, Diarrhea, Depression"
5568,Metzok 50 Tablet PR,Migraine,"Fatigue, Headache, Slow heart rate, Dizziness, Nausea, Breathlessness, Rash, Diarrhea, Depression"
5569,Magadol 50mg/325mg Tablet,Pain relief,"Nausea, Vomiting, Stomach pain epigastric pain, Heartburn, Diarrhea, Loss of appetite"
5570,Minopep 5% Solution,Hair loss,"Itching, Chest pain, Headache, Hypertrichosis excessive hair growth, Rash, Dermatitis, Hypersensitivity, Weight gain, Fluid retention, Tachycardia"
5571,Methimez 5 Tablet,Hyperthyroidism,"Skin rash, Nausea, Hair loss, Headache, Paresthesia tingling or pricking sensation, Joint pain, Taste change, Drowsiness, Muscle pain"
5572,Minirin Melt 60mcg Tablet MD,"Diabetes insipidus, Bed-wetting","Headache, Nausea, Stomach pain"
5573,Mintop Yuva Solution,Hair loss,"Itching, Chest pain, Headache, Hypertrichosis excessive hair growth, Rash, Dermatitis, Hypersensitivity, Weight gain, Fluid retention, Tachycardia"
5574,Mupimet Ointment,Bacterial skin infections,"Itching, Burning sensation, Stinging sensation, Pain"
5575,Mucinac 20% Injection,Paracetamol toxicity,"Rash, Red spots or bumps, Flushing sense of warmth in the face ears neck and trunk, Itching"
5576,Myospas TH 4 Capsule,Pain due to muscle spasm,"Nausea, Vomiting, Diarrhea, Heartburn, Stomach pain epigastric pain, Loss of appetite"
5577,Macgest SR 300 Tablet,Hormone replacement therapy,"Abdominal pain, Nausea, Abnormal vaginal bleeding, Edema swelling, Hair loss, Abdominal bloating, Headache, Breast pain, Vomiting, Vaginal yeast infection"
5577,Macgest SR 300 Tablet,Female infertility,"Abdominal pain, Nausea, Abnormal vaginal bleeding, Edema swelling, Hair loss, Abdominal bloating, Headache, Breast pain, Vomiting, Vaginal yeast infection"
5578,Merocrit 1gm Injection,Severe bacterial infections,"Rash, Headache, Vomiting, Nausea, Itching, Diarrhea, Injection site inflammation, Anemia low number of red blood cells, Sepsis, Constipation, Apnea absence of breathing, Shock"
5579,Montair 5mg Chewable Tablet Strawberry,Asthma,"Headache, Diarrhea, Abdominal pain, Fever, Upper respiratory tract infection, Cough, Sore throat, Runny nose, Sinus inflammation, Ear inflammation"
5579,Montair 5mg Chewable Tablet Strawberry,Sneezing and runny nose due to allergies,"Headache, Diarrhea, Abdominal pain, Fever, Upper respiratory tract infection, Cough, Sore throat, Runny nose, Sinus inflammation, Ear inflammation"
5580,Macsart H Tablet,Hypertension ,"Fatigue, Dizziness, Nausea, Diarrhea, Sinus inflammation, Flu like symptoms, Upper respiratory tract infection"
5581,Morr 2% Solution,Hair loss,"Itching, Chest pain, Headache, Hypertrichosis excessive hair growth, Rash, Dermatitis, Hypersensitivity, Weight gain, Fluid retention, Tachycardia"
5582,Moxam 400 Tablet,Bacterial eye infections,"Eye discomfort, Dry eye, Burning sensation in eye"
5583,Meb SR Capsule,Irritable bowel syndrome,"Fainting, Skin rash, Angioedema swelling of deeper layers of skin"
5584,Melalite 15 Cream,Hyperpigmentation,"Skin irritation, Burning sensation at the site of application"
5585,Montegress-XL Tablet SR,Respiratory tract disorders associated with viscid mucus,"Nausea, Upset stomach, Dryness in mouth, Headache, Fatigue, Allergic reaction, Sleepiness, Flu like symptoms"
5586,Mucinac 200 Effervescent Tablet Sugar Free,Paracetamol toxicity,"Fever, Nausea, Vomiting, Rash, Gastrointestinal discomfort"
5587,Mupisoft Ointment,Bacterial skin infections,"Itching, Burning sensation, Stinging sensation, Pain"
5588,Malidens 650 Tablet,Pain relief,"Stomach pain, Nausea, Vomiting"
5588,Malidens 650 Tablet,Fever,"Stomach pain, Nausea, Vomiting"
5589,Motinorm DT 10mg Tablet,Indigestion,"Headache, Dryness in mouth, Stomach pain, Diarrhea"
5589,Motinorm DT 10mg Tablet,Nausea,"Headache, Dryness in mouth, Stomach pain, Diarrhea"
5589,Motinorm DT 10mg Tablet,Vomiting,"Headache, Dryness in mouth, Stomach pain, Diarrhea"
5590,Maintane 250 Injection,"Premature, Labor","Injection site pain, Injection site swelling, Red spots or bumps, Rash"
5591,Mactor 10 Tablet,High cholesterol,"Dyspepsia, Abdominal pain, Indigestion, Diarrhea, Joint pain, Nasopharyngitis inflammation of the throat and nasal passages, Nausea, Pain in extremities, Urinary tract infection, Abnormal liver function tests"
5591,Mactor 10 Tablet,Heart attack,"Dyspepsia, Abdominal pain, Indigestion, Diarrhea, Joint pain, Nasopharyngitis inflammation of the throat and nasal passages, Nausea, Pain in extremities, Urinary tract infection, Abnormal liver function tests"
5592,Macgest 200 Capsule,Hormone replacement therapy,"Abdominal pain, Nausea, Abnormal vaginal bleeding, Edema swelling, Hair loss, Abdominal bloating, Headache, Breast pain, Vomiting, Vaginal yeast infection"
5592,Macgest 200 Capsule,Female infertility,"Abdominal pain, Nausea, Abnormal vaginal bleeding, Edema swelling, Hair loss, Abdominal bloating, Headache, Breast pain, Vomiting, Vaginal yeast infection"
5593,Mofloren KT Eye Drop,Bacterial eye infections,"Conjunctivitis, Reduced visual acuity, Dry eye, Eye discomfort, Ocular hyperemia, Eye pain, Eye twitching, Subconjunctival hemorrhage, Transient stinging, Transient burning, Allergic reaction, Corneal edema, Iritis inflammation of the middle layer of the eye, Eye inflammation, Superficial keratitis, Eye infection, Fever, Cough, Infection, Otitis media infection of ear, Sore throat, Rash, Inflammation of the nose, Taste change"
5594,Mahacef Drop,Bacterial infections,"Abdominal pain, Allergy, Nausea, Stomach pain, Indigestion, Diarrhea"
5595,Monotrate SR 30 Tablet,Angina ,"Headache, Flushing sense of warmth in the face ears neck and trunk, Upper respiratory tract infection, Abdominal pain, Allergic reaction, Chest pain, Diarrhea"
5596,Magneon 50% Injection,"Seizures in pregnant women with high blood pressure, Decreased magnesium levels in blood",Injection site reactions pain swelling redness
5597,Melapik Plus Cream,Melasma,"Erythema skin redness, Skin peeling, Burning sensation, Dryness, Itching"
5598,Matilda PG  ER Tablet,Neuropathic pain,"Dizziness, Sleepiness, Tiredness, Uncoordinated body movements"
5599,Meganano Gel,Infections,Limited data available
5600,Maxgalin 150 Capsule,Neuropathic pain,"Blurred vision, Difficulty in paying attention, Dizziness, Dryness in mouth, Edema swelling, Sleepiness, Weight gain"
5600,Maxgalin 150 Capsule,"Epilepsy/, Seizures","Blurred vision, Difficulty in paying attention, Dizziness, Dryness in mouth, Edema swelling, Sleepiness, Weight gain"
5600,Maxgalin 150 Capsule,Fibromyalgia,"Blurred vision, Difficulty in paying attention, Dizziness, Dryness in mouth, Edema swelling, Sleepiness, Weight gain"
5601,Megavog 0.3 Tablet MD,Type 2 diabetes mellitus,"Skin rash, Flatulence, Abdominal pain, Diarrhea"
5602,Morr 10% Solution,Hair loss,"Itching, Chest pain, Headache, Hypertrichosis excessive hair growth, Rash, Dermatitis, Hypersensitivity, Weight gain, Fluid retention, Tachycardia"
5603,Minilactone Tablet,Edema,"Breast enlargement in male, Electrolyte imbalance, Volume depletion"
5604,Moxiforce-CV 375 Tablet,Bacterial infections,"Vomiting, Nausea, Diarrhea, Mucocutaneous candidiasis"
5605,Mirakem 50mg Tablet,Overactive bladder  symptoms,"Constipation, Headache, High blood pressure, Nasal inflammation, Urinary tract infection, Fast heart rate, Joint pain"
5606,Microgest 200mg Softgel Capsule,Hormone replacement therapy,"Abdominal pain, Nausea, Abnormal vaginal bleeding, Edema swelling, Hair loss, Abdominal bloating, Headache, Breast pain, Vomiting, Vaginal yeast infection"
5606,Microgest 200mg Softgel Capsule,Female infertility,"Abdominal pain, Nausea, Abnormal vaginal bleeding, Edema swelling, Hair loss, Abdominal bloating, Headache, Breast pain, Vomiting, Vaginal yeast infection"
5607,Mibeta SR 40 Tablet,Pheochromocytoma,"Tiredness, Weakness, Raynaud s phenomenon, Arrhythmia irregular heartbeats, Nausea, Vomiting, Diarrhea"
5607,Mibeta SR 40 Tablet,Hypertension ,"Tiredness, Weakness, Raynaud s phenomenon, Arrhythmia irregular heartbeats, Nausea, Vomiting, Diarrhea"
5607,Mibeta SR 40 Tablet,migraine,"Tiredness, Weakness, Raynaud s phenomenon, Arrhythmia irregular heartbeats, Nausea, Vomiting, Diarrhea"
5607,Mibeta SR 40 Tablet,Anxiety,"Tiredness, Weakness, Raynaud s phenomenon, Arrhythmia irregular heartbeats, Nausea, Vomiting, Diarrhea"
5607,Mibeta SR 40 Tablet,Arrhythmia,"Tiredness, Weakness, Raynaud s phenomenon, Arrhythmia irregular heartbeats, Nausea, Vomiting, Diarrhea"
5607,Mibeta SR 40 Tablet,Heart attack,"Tiredness, Weakness, Raynaud s phenomenon, Arrhythmia irregular heartbeats, Nausea, Vomiting, Diarrhea"
5607,Mibeta SR 40 Tablet,Angina ,"Tiredness, Weakness, Raynaud s phenomenon, Arrhythmia irregular heartbeats, Nausea, Vomiting, Diarrhea"
5607,Mibeta SR 40 Tablet,Tremors,"Tiredness, Weakness, Raynaud s phenomenon, Arrhythmia irregular heartbeats, Nausea, Vomiting, Diarrhea"
5608,Macitent 10mg Tablet,Pulmonary arterial hypertension ,"Headache, Bronchitis inflammation of the airways, Nasopharyngitis inflammation of the throat and nasal passages, Anemia low number of red blood cells, Urinary tract infection, Influenza"
5609,Mixtard 30 Suspension for Injection 100IU/ml,Diabetes,"Hypoglycemia low blood glucose level, Injection site reactions pain swelling redness, Weight gain"
5610,Mikacin 250mg Injection,Bacterial infections,"Increased blood urea, Injection site reactions pain swelling redness"
5611,Moxikind-CV 1gm Tablet,Bacterial infections,"Vomiting, Nausea, Diarrhea, Mucocutaneous candidiasis"
5612,Met XL R 25mg/2.5mg Tablet,Hypertension ,"Nausea, Taste change, Vomiting, Diarrhea, Constipation, Cough, Dizziness, Weakness, Headache, Cold extremities, Slow heart rate, Numbness of extremity, Increased potassium level in blood, Decreased blood pressure"
5613,Moxifax Eye Drop,Bacterial eye infections,"Eye discomfort, Dry eye, Burning sensation in eye"
